method,eval_id,gen,depth,learning_rate,l2_leaf_reg,random_strength,bagging_temperature,rmse_mean,rmse_std,r2_mean,r2_std,mae_mean,mae_std,total_fit_time
ga,1,0,6,0.09187580429017989,7.221009559127135,1.3947360581187278,0.18835469577529906,1.2363038524308696,0.043890141955256916,0.39385295788451236,0.046108505207477314,0.8971873866118762,0.033652380163481065,5.6448447704315186
ga,2,0,9,0.19335401244690462,5.769520250036253,1.5721286105539076,0.25622726535109175,1.2299610578951028,0.03535050328549903,0.400190157926488,0.03997424798521767,0.8913303318125336,0.028217705481738478,8.023228406906128
ga,3,0,10,0.083601228548272,8.448215604730962,1.287730240161329,1.64552322654166,1.2264287120315673,0.043313789897509385,0.4038824178943539,0.03983556704046661,0.8875861079655781,0.030946188766137205,9.722680568695068
ga,4,0,8,0.09245532999504477,1.687480340010694,1.1091695740316696,0.12763451220835065,1.2248339398347188,0.044211995102590475,0.40540763084786224,0.04053619781914622,0.887155557227216,0.031137143875610108,6.579943895339966
ga,5,0,10,0.12002448937083642,5.729117640927423,0.7090519362597367,1.9413960487898065,1.2340512097045002,0.041844379706364954,0.3961385941353422,0.04390345363754844,0.8948957120180359,0.032568250761224084,9.846744060516357
ga,6,0,10,0.17245766390543027,6.003209464682024,0.38927741570393515,0.9334420074540684,1.2239392752626101,0.039971094000891716,0.4064358695364601,0.03587087215125501,0.8848850734315612,0.02678326214123126,10.13172721862793
ga,7,0,8,0.061924361116012294,4.8200212536380524,1.4895243118156343,1.93501946486842,1.232114322455501,0.04295804345657625,0.39816821069738345,0.042497759257021095,0.8938981227972537,0.031951287480638954,6.592393159866333
ga,8,0,6,0.07854823244248797,2.3467115240253227,0.9391116225516158,0.3789427181685714,1.2414973626735983,0.045571920757925016,0.3882124649057036,0.05408222350491625,0.9022734366662857,0.04062447091886598,5.170509099960327
ga,9,0,8,0.0966880737336113,1.6862010253433073,1.3396279893650207,0.8743038377446615,1.225401274905924,0.04119027717369317,0.40472593118308897,0.04085375460672958,0.8883518206605793,0.02964090527643102,6.5487096309661865
ga,10,0,6,0.15859600080073,5.014932616908875,0.6247332827640821,1.6645196027904021,1.224362347077418,0.04299595822917111,0.4057913228727081,0.04092924689968695,0.8859410272940942,0.02960883818466885,5.498122692108154
ga,11,0,8,0.08555693812927911,1.9423527460967525,1.364991007949951,0.2795049672186196,1.2260022123657384,0.04591326606375664,0.4042884728811556,0.04133854010760492,0.8883961574437867,0.031222916385359442,6.976530075073242
ga,12,0,10,0.06596700015015797,1.0170967574190222,1.5738487550042768,1.3297017131840643,1.2316120910769055,0.04059359380530104,0.39856109901068365,0.042662172005914205,0.893393043513137,0.030838587776136274,9.898029327392578
ga,13,0,8,0.14757599430020443,2.8768404434871577,1.1374823919057875,0.2795939962553149,1.229200771949823,0.04177721452282307,0.4009231043754228,0.04297262989486433,0.8910034993438611,0.03089851038700364,6.65179705619812
ga,14,0,9,0.05860355736042314,4.660182898310379,0.942192412286265,1.1304722129623777,1.2307745149362386,0.04217225802121412,0.39948237905486295,0.04187240959671863,0.8931186398007197,0.031038453183332274,8.024572134017944
ga,15,0,6,0.12053370620311908,3.5774980083891696,1.118414321490827,0.6079001961252244,1.229136229543882,0.04332944279764361,0.4011251957947528,0.0417500980947475,0.8907195223758949,0.031064758113553984,5.392200469970703
ga,16,0,9,0.052182416825006184,2.73348936928828,0.4291693456390584,0.8170572874492723,1.2300194448569806,0.04405209239913357,0.4003328526561365,0.04122585844168242,0.8919786007447819,0.03129681689425797,7.971693992614746
ga,17,0,10,0.06915372987289063,1.1436752998794897,0.5627677840439931,0.5871875155333672,1.2259314919382722,0.04217350904483285,0.4044245833250004,0.038365600549789415,0.8885538247669317,0.028879811611511264,10.114187479019165
ga,18,0,10,0.1251651590169732,3.6060533890941806,1.567796418212827,1.328627080654775,1.2307182867618822,0.038790933113792635,0.3991343000581353,0.046117046919323404,0.8922729258373483,0.0329688975830393,10.206750392913818
ga,19,0,8,0.15454647721959652,1.4688346867518005,0.045424146267720955,0.1800957215512835,1.2226543400903236,0.04027654378348361,0.40768306716441316,0.03585828110554445,0.8839361315876291,0.027267696112568875,6.788213729858398
ga,20,0,8,0.13610487113404368,2.8965246597927927,0.3225435580672036,1.002089550206727,1.220155890075817,0.042980752351911275,0.41033928121314717,0.033522095454993954,0.881571017313185,0.027440199321871885,6.776616334915161
ga,21,0,10,0.1312794181879508,2.7935488849050834,0.762042452192965,0.603024178295753,1.2230705530751225,0.04315917633842126,0.40730352926387514,0.03694660076168384,0.8829561372976832,0.02850808276926634,10.052202463150024
ga,22,0,6,0.11979479174826074,2.3004490051611124,0.175299838632202,0.23601180424103063,1.2322551737782146,0.040027466532895004,0.3979363925669538,0.04257327846173868,0.8935688451525496,0.030657692564706223,5.254000663757324
ga,23,0,7,0.17619358292632376,5.008493722873623,0.5317399229190392,1.9383527546954478,1.2245868667037447,0.04258675069389432,0.4058218450361501,0.03703593101886508,0.8846850282175845,0.02724314284524356,5.81674337387085
ga,24,0,10,0.14717185599272406,5.2106294430416185,0.8987230042875773,0.544483123690318,1.2274853719680416,0.038940537597995546,0.40283277488935865,0.03789549433412444,0.8888053587376816,0.02760111443319855,10.164356470108032
ga,25,0,6,0.17473938198419495,2.8561189441201273,0.40472672959046063,0.611913248301305,1.2309186520140507,0.04159621200412446,0.39882619500308947,0.04868681935583915,0.8941312687179339,0.034844742263890685,5.442249059677124
ga,26,1,6,0.15859600080073,2.7935488849050834,0.6247332827640821,1.6645196027904021,1.2277739979135276,0.0429195897287819,0.40233287133686524,0.0431531573323728,0.889600053701043,0.031066982820368377,5.431379318237305
ga,27,1,10,0.10678581430001433,2.6425837058046215,0.762042452192965,1.6831448882356834,1.2264902230807466,0.041658647862806444,0.4038749472115345,0.03809611361155038,0.8872012719313114,0.028895344775432378,10.162022352218628
ga,28,1,8,0.09245532999504477,1.4688346867518005,0.045424146267720955,0.1800957215512835,1.2228234255500943,0.04434209997358463,0.4074337080718323,0.03943397593433876,0.8844813393495146,0.029837580459885858,6.792959451675415
ga,29,1,8,0.083601228548272,2.8965246597927927,1.287730240161329,1.002089550206727,1.2247736398928413,0.045061098425816314,0.40542103491302556,0.041550217403092504,0.8869223974194073,0.031362099733263815,6.7124903202056885
ga,30,1,8,0.17473938198419495,1.687480340010694,1.1091695740316696,0.611913248301305,1.223497292907394,0.046585217501314224,0.4067529410093586,0.04120111597149434,0.8842635223963683,0.03167592585655164,6.863847255706787
ga,31,1,9,0.07982202158232628,5.2106294430416185,1.3396279893650207,0.544483123690318,1.2257437155913098,0.04111138507779373,0.4045888146647192,0.03800969156485913,0.8881486677323895,0.028090626156594408,8.0574791431427
ga,32,1,8,0.0966880737336113,2.7935488849050834,0.762042452192965,0.8743038377446615,1.2233691564525886,0.04271088204635381,0.40685185655606376,0.039284314183980124,0.8859161127992918,0.029393263640550962,6.863887786865234
ga,33,1,9,0.13610487113404368,2.7805559800742103,0.4914413814248496,1.07936220539995,1.2209270984249503,0.04077889218067254,0.40933208540686383,0.036563374355018365,0.8828040022556707,0.02874640409439023,8.084702968597412
ga,34,1,9,0.17245766390543027,1.5535766844299488,1.4042018418054918,0.8743038377446615,1.229275248079363,0.0411061606598109,0.4008226867966311,0.04293394899698203,0.888459914014334,0.031363378083898795,8.083909034729004
ga,35,1,8,0.13610487113404368,1.6862010253433073,1.3396279893650207,0.8743038377446615,1.2261559110795188,0.04089886767359063,0.40380242569908686,0.04348383991876031,0.8884249387366683,0.031006269126030682,7.099214553833008
ga,36,1,6,0.17473938198419495,5.014932616908875,0.6247332827640821,0.611913248301305,1.2285505463678184,0.040915748236530984,0.4014626817077417,0.04379867215494838,0.8902792197873236,0.03208736867432585,5.646145343780518
ga,37,1,8,0.14757599430020443,5.008493722873623,0.5317399229190392,1.9383527546954478,1.2314306034181552,0.042639151629418774,0.3986585569866087,0.044644268169163295,0.8928401213888844,0.0339263313355771,6.998044729232788
ga,38,1,10,0.08896036908575201,7.732816775097453,0.4314881847118396,0.9334521346250381,1.2254099299991927,0.04233222614899103,0.4048958594965189,0.03884339573542587,0.8880032427030464,0.029311711916281794,10.429145336151123
ga,39,1,6,0.1312794181879508,5.014932616908875,0.762042452192965,0.603024178295753,1.2278482453835262,0.04200332799492016,0.40228244123363927,0.042404846419530844,0.8902916885075236,0.030903751843839408,5.338096380233765
ga,40,1,9,0.06915372987289063,5.769520250036253,1.5721286105539076,0.25622726535109175,1.2299123778250527,0.04265016430246133,0.4002515068815232,0.043078392566249485,0.8937622897487099,0.03176780340167774,7.883731126785278
ga,41,1,8,0.15859600080073,5.014932616908875,1.1091695740316696,0.12763451220835065,1.2264232700296211,0.04472597984279361,0.40382747587131257,0.04132888815047044,0.8868926930823037,0.030448075297385507,6.69657826423645
ga,42,1,7,0.17619358292632376,4.660182898310379,0.5317399229190392,1.1304722129623777,1.229657707599054,0.03923743077563394,0.4004954853646412,0.04172355377210166,0.8915695483673861,0.02987429507593848,5.877984523773193
ga,43,1,6,0.17245766390543027,3.5774980083891696,0.38927741570393515,0.6079001961252244,1.2284219289873648,0.03862032836042931,0.40189963131086237,0.03835138789596583,0.8895374988564493,0.02603089271124602,5.310250282287598
ga,44,1,10,0.083601228548272,5.014932616908875,1.287730240161329,1.6645196027904021,1.2268522935353552,0.04292619299825227,0.4033750136017161,0.041094221202890496,0.8882556698054309,0.031263402595069587,10.03956151008606
ga,45,1,6,0.13610487113404368,2.8965246597927927,0.3225435580672036,1.6645196027904021,1.2254459756197797,0.04332380936771981,0.4048205072953692,0.04014586821768636,0.8880278658823674,0.03006742622836329,5.244925260543823
ga,46,2,8,0.15454647721959652,1.4688346867518005,0.045424146267720955,1.6831448882356834,1.2279119581779914,0.04422889444780585,0.4024002025004421,0.04091480193713254,0.887357424083531,0.028560822709664636,6.697349548339844
ga,47,2,8,0.15454647721959652,1.687480340010694,1.1091695740316696,0.1800957215512835,1.2288007895115955,0.04437504197386834,0.40136324001908036,0.04335869518482287,0.8900540312312483,0.03173743125458556,6.802926540374756
ga,48,2,8,0.13610487113404368,1.4688346867518005,0.045424146267720955,0.8743038377446615,1.2234441856768707,0.04151529879486303,0.40687833577178373,0.03733937042831826,0.8851749523826988,0.028680127922588852,6.624532222747803
ga,49,2,6,0.1312794181879508,2.8965246597927927,1.287730240161329,0.603024178295753,1.2280102675325397,0.04316930989763427,0.4021100991584361,0.04327901315128239,0.8901363319752414,0.031491110980874135,5.290762662887573
ga,50,2,9,0.083601228548272,2.8965246597927927,1.287730240161329,1.07936220539995,1.227903197566025,0.04113742128257124,0.40230836211937904,0.04076012853412501,0.8902483003338192,0.02944090805725825,7.788924932479858
ga,51,2,7,0.13610487113404368,1.687480340010694,0.829135639649873,1.0920216181740559,1.2271842457072473,0.03997466889625811,0.40299597432181516,0.040398169551174735,0.8889881859294011,0.028021750926018895,5.83644962310791
ga,52,2,6,0.15454647721959652,1.4688346867518005,0.045424146267720955,1.6645196027904021,1.233426548576047,0.04274114110588093,0.3965654860083819,0.04687712575369315,0.8950510356511121,0.03314411033220433,5.283687353134155
ga,53,2,8,0.13610487113404368,2.7805559800742103,0.4914413814248496,1.07936220539995,1.2274041555141753,0.04221452159557849,0.40288627103818114,0.04006582732248688,0.8901624763754823,0.029257108506097217,6.608606815338135
ga,54,2,8,0.07982202158232628,1.687480340010694,1.3396279893650207,0.611913248301305,1.226361479274837,0.045643953842409574,0.4038434606254733,0.04249720606736289,0.8882107723008845,0.03183649163468471,6.61950945854187
ga,55,2,8,0.13610487113404368,2.8965246597927927,0.3225435580672036,1.6645196027904021,1.2277293555889752,0.0409651684180556,0.4025588551794289,0.03966515789357388,0.8892201445454665,0.030394966835199155,6.692552089691162
ga,56,2,8,0.1480511118517336,1.798102118628684,0.0,0.0,1.2195393774382157,0.046984790167336185,0.41065082503639044,0.04014400406120455,0.8793729634665818,0.0315948411054465,6.514209032058716
ga,57,2,8,0.13610487113404368,2.8965246597927927,0.045424146267720955,0.1800957215512835,1.2192850953135346,0.04159772618547221,0.41108501622053095,0.03416644660042877,0.8799588477426618,0.027015120958138975,6.5929083824157715
ga,58,2,8,0.15454647721959652,2.320047619795716,1.287730240161329,0.34855428859927035,1.2208661955755733,0.04699631604722412,0.4094128055774623,0.03950022751212649,0.8790895617378027,0.031821907870026395,6.580038547515869
ga,59,2,10,0.08205381247704253,4.249953812475539,0.22911200656374736,0.1800957215512835,1.2231379699193117,0.042807521732660635,0.4071663049810394,0.03807108301501078,0.8850357118610084,0.02833450776925456,9.865546941757202
ga,60,2,6,0.13610487113404368,1.6862010253433073,0.3225435580672036,0.8743038377446615,1.2347886618278678,0.04360822782335765,0.39518399151239025,0.04788768223998154,0.8967276129539954,0.03487502130809078,5.330792427062988
ga,61,2,6,0.15859600080073,2.7935488849050834,0.6247332827640821,0.12763451220835065,1.2278093722785388,0.0439935417375454,0.4022492679388465,0.04421340658716253,0.8891538260344986,0.031148259782915112,5.292901515960693
ga,62,2,8,0.13999710418256753,1.9096212615330255,1.2570276335714206,0.2795049672186196,1.2255265672384084,0.038596785938174345,0.4046865131867339,0.03852851922635766,0.8877735691325057,0.02783808675857353,6.647257328033447
ga,63,3,8,0.13999710418256753,1.9096212615330255,1.2570276335714206,0.0,1.2253731022152787,0.04104758551163404,0.40468353118631156,0.04187582782868424,0.8888477565145234,0.030414417083937842,6.6198625564575195
ga,64,3,8,0.13610487113404368,2.7805559800742103,0.045424146267720955,1.07936220539995,1.2224993782126232,0.04148622105637027,0.407742073510278,0.03780417848885342,0.8843353757772722,0.027836593959442664,6.636338710784912
ga,65,3,8,0.13610487113404368,2.8965246597927927,0.3225435580672036,0.0,1.2191245401590254,0.04013226148731343,0.4112304268234682,0.03358193030044165,0.8809302806963469,0.026787147563891247,6.612489938735962
ga,66,3,7,0.13610487113404368,3.0979480937397623,0.3225435580672036,0.9380752685469601,1.2271144987784859,0.04262401493337027,0.4031908890162059,0.039889830690531355,0.8888021622535384,0.028328946108674473,5.864187955856323
ga,67,3,8,0.13610487113404368,1.4688346867518005,0.4914413814248496,0.1800957215512835,1.2217205968691958,0.04199131940555714,0.40863352591383517,0.03608441268826324,0.8821410121260399,0.027771159247588134,6.640790700912476
ga,68,3,8,0.13610487113404368,1.687480340010694,1.3396279893650207,0.611913248301305,1.2234706967084108,0.04281768071873385,0.4065795733616753,0.04194940721263466,0.8857228158427415,0.032188749064046646,6.624863862991333
ga,69,3,8,0.13610487113404368,2.8965246597927927,0.4914413814248496,1.002089550206727,1.2220646688388057,0.044243532434156976,0.4083479166432837,0.036647584196414305,0.8821850387932066,0.028295801929883277,6.627943992614746
ga,70,3,8,0.15454647721959652,2.320047619795716,0.3225435580672036,0.34855428859927035,1.2183044372564984,0.043022250429135614,0.4121158832888242,0.03365000945432537,0.8788726179808094,0.028802275015002755,6.60400128364563
ga,71,3,8,0.07982202158232628,1.798102118628684,0.0,0.544483123690318,1.2231728232982007,0.044564126099943036,0.40723880442160454,0.037412507223286776,0.8840117029842853,0.030133193616974314,6.555638551712036
ga,72,3,8,0.07982202158232628,1.687480340010694,1.3396279893650207,0.1800957215512835,1.2286880229938157,0.044278489190032966,0.40142335005673324,0.04408387966299233,0.8914795143710039,0.03252616094142977,6.670189380645752
ga,73,3,8,0.1480511118517336,1.4688346867518005,0.045424146267720955,0.1800957215512835,1.2201446535234353,0.04049754838788509,0.4101893058141507,0.034692381931065754,0.8803868467917267,0.026301497331253622,6.615103721618652
ga,74,3,8,0.12103300170437077,2.185274149262206,0.46730882288258996,0.1506884434083992,1.2277662192273093,0.041682387001713554,0.4023660055009482,0.04230480849299413,0.8909222117655842,0.028938705051728172,6.62346625328064
ga,75,3,7,0.13610487113404368,2.7479058749707526,0.13492620432296099,0.9599752643405697,1.218836546302303,0.04452384687670739,0.41153697264950234,0.03566583664072164,0.8790887768707997,0.029080445282736015,5.805579423904419
ga,76,3,8,0.13999710418256753,1.4688346867518005,1.2570276335714206,0.2795049672186196,1.2239862832887307,0.04082979125885572,0.40622468806263834,0.038816014428746444,0.8851364004102328,0.02991562435546459,6.6044700145721436
ga,77,3,7,0.1480511118517336,2.41974703431469,1.033847384785945,0.11170058716206352,1.223733559000676,0.04120812349596197,0.40653148372532916,0.03812881149807448,0.8862774570747988,0.02795663647934133,5.828249216079712
ga,78,3,9,0.13610487113404368,2.7805559800742103,0.3225435580672036,1.07936220539995,1.2195471449560853,0.04474742887340374,0.4107254097469578,0.03755516324079879,0.8816814722207343,0.029090595984239857,7.826427221298218
ga,79,3,7,0.1564971871191142,1.3057420380440832,0.0,0.0,1.2248113357821164,0.039950151019912686,0.4055519633038793,0.03647727637138717,0.8863433566206617,0.02764199778996894,5.7739527225494385
ga,80,3,9,0.1304253151580637,1.9598794305053449,0.4914413814248496,0.0,1.2315319258283286,0.0393906884955259,0.39856201235076416,0.04326943162497059,0.8934790915976158,0.03128985918710773,7.778123617172241
