method,eval_id,depth,learning_rate,l2_leaf_reg,random_strength,bagging_temperature,rmse_mean,rmse_std,r2_mean,r2_std,mae_mean,mae_std,total_fit_time
grid,1,7,0.08,2.0,0.8,0.8,1.2304195812080712,0.04337687864162794,0.399675003754779,0.044569575519109686,0.892526935568997,0.0328145869305792,5.9383225440979
grid,2,7,0.08,2.0,0.8,1.0,1.2269807178573828,0.04375794110351015,0.40330339965559714,0.040738799458087026,0.8892142506814652,0.03123403932696287,5.940281867980957
grid,3,7,0.08,2.0,0.8,1.2,1.2297338652971068,0.04311070862665696,0.40053996890632726,0.041709574268791225,0.8919441907363697,0.030890653089855422,5.946305751800537
grid,4,7,0.08,2.0,1.0,0.8,1.2300705947941561,0.04184466673602177,0.4000448756222247,0.043425060128335455,0.8930875640970983,0.03206494658762856,5.987027883529663
grid,5,7,0.08,2.0,1.0,1.0,1.2274414594619063,0.040660532687879045,0.4026856558767461,0.04161163086637211,0.8905774866099204,0.03096096615230927,5.789860963821411
grid,6,7,0.08,2.0,1.0,1.2,1.231175017417919,0.04343130266966041,0.3989219044420676,0.04494099720555936,0.8941460110058854,0.03314719207332571,5.657904386520386
grid,7,7,0.08,2.0,1.2,0.8,1.233563164871398,0.043055785251770284,0.3965159739512431,0.045889961967740145,0.8951599744845474,0.03468269311854969,5.738079786300659
grid,8,7,0.08,2.0,1.2,1.0,1.2346789726046243,0.046515980958595916,0.39511389250679957,0.051389475075622554,0.8975477907759453,0.0385850204473688,5.688233137130737
grid,9,7,0.08,2.0,1.2,1.2,1.228571303218538,0.04312774890656778,0.40154028649701046,0.043573308812238434,0.8915937849131973,0.03303586563044857,5.702460527420044
grid,10,7,0.08,3.0,0.8,0.8,1.2294784525499884,0.04321208498578939,0.400753318481346,0.042329605947785204,0.8921718791212001,0.0314028624388008,5.69562029838562
grid,11,7,0.08,3.0,0.8,1.0,1.2291443995262408,0.042854890867616714,0.4009960378748231,0.04323417351401455,0.891756524923719,0.031798385714231034,5.636128902435303
grid,12,7,0.08,3.0,0.8,1.2,1.228412092766254,0.043556560858053324,0.4018017643560137,0.042279538875221866,0.8915527250333278,0.031639642462278524,5.672948360443115
grid,13,7,0.08,3.0,1.0,0.8,1.2287533882627126,0.04300742467872279,0.4014799723735896,0.04185917355939383,0.8915464429703241,0.030754962698325138,5.685700178146362
grid,14,7,0.08,3.0,1.0,1.0,1.2291219872034076,0.043085396740157426,0.40112004177601684,0.0418337650344403,0.8918411806568045,0.031466662862034186,5.751232147216797
grid,15,7,0.08,3.0,1.0,1.2,1.2282371174678368,0.04459458162524813,0.40194573565544883,0.0431084055295016,0.8909693478612845,0.032193811476063046,5.825579404830933
grid,16,7,0.08,3.0,1.2,0.8,1.229138605552072,0.04517262873666385,0.4010656519481938,0.04347840559054284,0.891663299962174,0.03233322279730136,5.841430187225342
grid,17,7,0.08,3.0,1.2,1.0,1.2297836482331415,0.04483623801172883,0.4003755111103926,0.04412397466765072,0.8924505760720441,0.0326260135762052,5.67914080619812
grid,18,7,0.08,3.0,1.2,1.2,1.2286718337371063,0.04458497783123654,0.4015861000598021,0.04225921861802934,0.8908282948144605,0.032616603428683756,5.809755563735962
grid,19,7,0.08,4.0,0.8,0.8,1.2308524706642001,0.043180895247154606,0.39938522989855463,0.042743907188056166,0.8935894782239175,0.0315753257681703,5.824054956436157
grid,20,7,0.08,4.0,0.8,1.0,1.229341123456318,0.0431831687094978,0.40091077951522774,0.04186890835846523,0.8911507524897345,0.030624178243878794,5.846268653869629
grid,21,7,0.08,4.0,0.8,1.2,1.2261759657694884,0.044043458765591764,0.4040228132152481,0.04170910313474115,0.8892300085793716,0.032240387207393834,5.732600927352905
grid,22,7,0.08,4.0,1.0,0.8,1.2273709127978587,0.044837903678256935,0.4028962227765117,0.041711689660238874,0.8893250477326584,0.031712754255207046,5.771005392074585
grid,23,7,0.08,4.0,1.0,1.0,1.2263895424164213,0.04416715870495257,0.4038640974679438,0.041084734380932145,0.8886445853074143,0.031232085951563616,6.311648845672607
grid,24,7,0.08,4.0,1.0,1.2,1.2300123890890449,0.042527370578043414,0.40011892031429747,0.04357310234069637,0.8931126132875067,0.03181872558439283,6.214184284210205
grid,25,7,0.08,4.0,1.2,0.8,1.2279392819362396,0.043799541906408036,0.4023453568333565,0.041136378519674055,0.8900874685244803,0.031144416915864153,6.159912109375
grid,26,7,0.08,4.0,1.2,1.0,1.2276183772043339,0.045081438387548495,0.40241334141062113,0.045064419155729854,0.8904335219545771,0.03385314148178536,6.010162353515625
grid,27,7,0.08,4.0,1.2,1.2,1.2273467486151592,0.0448205546551658,0.4029787140979385,0.04090002247129958,0.8893087837225535,0.03212020818853001,5.986422300338745
grid,28,7,0.1,2.0,0.8,0.8,1.2272644034725162,0.042303449507909284,0.40273604930188933,0.044004865060489264,0.8900759909745675,0.032594458336761535,5.93375825881958
grid,29,7,0.1,2.0,0.8,1.0,1.2299434039561112,0.039994256175267674,0.40010723121213754,0.04359517473758392,0.8932002591416108,0.031982055647258686,5.821559906005859
grid,30,7,0.1,2.0,0.8,1.2,1.2267343693488348,0.04303739598524124,0.40358260719214656,0.03978968360477749,0.8893158373910917,0.029582483574685344,5.825468063354492
grid,31,7,0.1,2.0,1.0,0.8,1.225253230620829,0.04391597283688823,0.4049901448569484,0.040641286254390764,0.888474735232581,0.03029514519445288,5.723692417144775
grid,32,7,0.1,2.0,1.0,1.0,1.225459447479453,0.044646177675075574,0.4047603300862794,0.04142089450175252,0.8879214772562003,0.03038953553406445,5.672228813171387
grid,33,7,0.1,2.0,1.0,1.2,1.2329956267569555,0.04218666166520154,0.3971928570407246,0.04378902390720173,0.8949448217293533,0.03226167379145173,5.712944507598877
grid,34,7,0.1,2.0,1.2,0.8,1.2302879135111384,0.04457661770574395,0.3998797250816478,0.04414281097226521,0.8918984641502046,0.03297216976811367,5.69731593132019
grid,35,7,0.1,2.0,1.2,1.0,1.2291083547939887,0.04200120875597384,0.4011049262156556,0.04170717179986403,0.8911873148182103,0.030618802838457176,5.679218292236328
grid,36,7,0.1,2.0,1.2,1.2,1.222833115376211,0.04673126029397081,0.4073812477907949,0.04132867236446367,0.8846657621393004,0.03163863871390497,5.9772562980651855
grid,37,7,0.1,3.0,0.8,0.8,1.228686132066505,0.0422959034532651,0.40137370282213247,0.043769705859448046,0.8915754738908388,0.03146600224447766,5.699467420578003
grid,38,7,0.1,3.0,0.8,1.0,1.227232770107544,0.04344418385966532,0.4029721072567791,0.04182842156198944,0.8890008930907815,0.030381697694216895,5.78824257850647
grid,39,7,0.1,3.0,0.8,1.2,1.225185956144389,0.04271924475262299,0.4051552747129671,0.03855117269964096,0.8875343543799517,0.02951103039119796,5.75848126411438
grid,40,7,0.1,3.0,1.0,0.8,1.227340143629704,0.04403268658693664,0.40276926560295856,0.04339120890740117,0.8903585726707479,0.032245771986084935,5.764203071594238
grid,41,7,0.1,3.0,1.0,1.0,1.2256646850938586,0.04419529610806478,0.40463271622558555,0.04014779978265151,0.8876329402309022,0.030301111822016145,5.773692607879639
grid,42,7,0.1,3.0,1.0,1.2,1.2250833258570666,0.04584333412074385,0.4051792062578127,0.04131143285852889,0.8866708531771075,0.030750452168249166,5.798124074935913
grid,43,7,0.1,3.0,1.2,0.8,1.2319157809045722,0.045107402405744484,0.3980358923331115,0.04784306852767003,0.8946427427235282,0.03520591224396436,5.786904335021973
grid,44,7,0.1,3.0,1.2,1.0,1.2307509302163535,0.042054171118735995,0.3993561960591884,0.043982326502925016,0.8929408034976423,0.032123211697456376,5.8567893505096436
grid,45,7,0.1,3.0,1.2,1.2,1.2290589761743236,0.0440276527073541,0.40108865189164594,0.04363336545050632,0.8913222537561409,0.0319761085207128,5.829060316085815
grid,46,7,0.1,4.0,0.8,0.8,1.2298270663212842,0.0413723066735647,0.40025207585904604,0.043687018767732975,0.8923014336642222,0.031260661700111124,5.788024425506592
grid,47,7,0.1,4.0,0.8,1.0,1.2299491022417157,0.044797519124889065,0.40007675143395965,0.04596357073267237,0.8924574048364875,0.033546667323525015,5.827435255050659
grid,48,7,0.1,4.0,0.8,1.2,1.2274667722053105,0.04423489312333701,0.40284270019386553,0.04083422594049673,0.8888012045304089,0.031171302032035355,5.788254022598267
grid,49,7,0.1,4.0,1.0,0.8,1.2265456579991476,0.0438352770479614,0.4036050874384493,0.042395312942728296,0.8895537852497737,0.0314843626713091,5.845443487167358
grid,50,7,0.1,4.0,1.0,1.0,1.2272261210443847,0.044318776236362156,0.4030148855880585,0.0417652793085033,0.8902146013339486,0.03044413225274152,5.787981748580933
grid,51,7,0.1,4.0,1.0,1.2,1.2264399922847034,0.044196435591157025,0.40380251963732905,0.041270671745143234,0.8880059672671534,0.031129084088797856,5.806880235671997
grid,52,7,0.1,4.0,1.2,0.8,1.2282192432181387,0.04271854237678483,0.4019807308625004,0.04200138274361417,0.8910780851458403,0.031744184413792315,5.940412282943726
grid,53,7,0.1,4.0,1.2,1.0,1.2265935067182423,0.044087025487399255,0.40351111326569694,0.043215855155122544,0.8890433132237318,0.031589235678110866,5.94753885269165
grid,54,7,0.1,4.0,1.2,1.2,1.22672759895615,0.04237457958970421,0.4033215015171949,0.04309431568726579,0.8888599320375121,0.031185414293413025,5.859276056289673
grid,55,7,0.12,2.0,0.8,0.8,1.228470350194441,0.042388037395731694,0.4016541657455991,0.04295449117147249,0.8916109661180801,0.031243405031103552,5.928077936172485
grid,56,7,0.12,2.0,0.8,1.0,1.2287322009842208,0.040650169656338685,0.4014346012210067,0.04173146740638014,0.8902882257192195,0.03012934136579885,5.802472829818726
grid,57,7,0.12,2.0,0.8,1.2,1.2265013948734427,0.04309306773511241,0.4036358816033722,0.042271560990202905,0.8892050987237508,0.031228390126567994,5.800607919692993
grid,58,7,0.12,2.0,1.0,0.8,1.2286791022271601,0.04089302582450835,0.4014620991087159,0.04213038676163372,0.8909645585756992,0.030424429349213297,6.012725830078125
grid,59,7,0.12,2.0,1.0,1.0,1.2278383102556738,0.0411262303681924,0.40251711813526614,0.038616343675588666,0.8893341533272112,0.02761262674755655,6.143726587295532
grid,60,7,0.12,2.0,1.0,1.2,1.2257297607636264,0.04394465087955794,0.4043868627982216,0.04258322800382713,0.8882167514603598,0.03015398874509211,5.810102462768555
grid,61,7,0.12,2.0,1.2,0.8,1.2297333079067163,0.040945274669222875,0.4002596310071461,0.044617673278604386,0.8922878340792822,0.03226817560623039,5.904490947723389
grid,62,7,0.12,2.0,1.2,1.0,1.2245753741685526,0.04411782553539746,0.40566328273921853,0.04045594469310762,0.8875434541437146,0.02993887065051418,5.832279443740845
grid,63,7,0.12,2.0,1.2,1.2,1.2247150316830921,0.04166684689822814,0.40549925724979896,0.03966664229061436,0.8876967770874591,0.028881306257595326,5.869146823883057
grid,64,7,0.12,3.0,0.8,0.8,1.2274106807972773,0.044089997161017115,0.40275698451198466,0.042650351838543675,0.8898603440714317,0.030435789694681158,5.8337180614471436
grid,65,7,0.12,3.0,0.8,1.0,1.2301294373301463,0.04299977293365216,0.40005702510516183,0.04307535649780142,0.8927791286163155,0.031975697697806484,5.787858486175537
grid,66,7,0.12,3.0,0.8,1.2,1.2245828776649799,0.043510311937065116,0.40564331006716126,0.04029422885340292,0.8866262447984516,0.030242613303979714,5.779170751571655
grid,67,7,0.12,3.0,1.0,0.8,1.2326173029340497,0.04017363101815163,0.39761513752941935,0.04216532263871749,0.8947628849306263,0.030146035826560436,5.886474132537842
grid,68,7,0.12,3.0,1.0,1.0,1.2284601605269292,0.041962301583954156,0.4018884790654533,0.039576638987774186,0.8900689279625373,0.028813602639529635,6.002150774002075
grid,69,7,0.12,3.0,1.0,1.2,1.2313172467871671,0.042740875028322925,0.3985801225747359,0.04727714206134366,0.8937125345935291,0.03327135550061253,5.919626474380493
grid,70,7,0.12,3.0,1.2,0.8,1.2307905463031146,0.04162733203678673,0.39896096588245494,0.04860876580534135,0.8932226901153146,0.03478288530345062,5.88823938369751
grid,71,7,0.12,3.0,1.2,1.0,1.22603255987606,0.04362019234000473,0.4041454544966509,0.04163416173603289,0.8886525293039199,0.031753587468811545,5.919126987457275
grid,72,7,0.12,3.0,1.2,1.2,1.225145139355891,0.04437628608322955,0.40511311705674125,0.04059592075103009,0.8862273460217797,0.029896446506088418,5.959005355834961
grid,73,7,0.12,4.0,0.8,0.8,1.2265876529229454,0.043735211085243864,0.40372025664172406,0.04019367818871826,0.8882232376058872,0.02887638771225044,5.838160991668701
grid,74,7,0.12,4.0,0.8,1.0,1.226279311165305,0.04259822003759605,0.4038539436519747,0.04197156786170548,0.8878433443156581,0.02981516670427998,6.180607080459595
grid,75,7,0.12,4.0,0.8,1.2,1.21892794139215,0.04411987267742747,0.41129026017417336,0.03783018916556852,0.8801709402650942,0.029256519019535965,6.519963264465332
grid,76,7,0.12,4.0,1.0,0.8,1.2294655084782482,0.041648363095765466,0.4006390914534751,0.04339947646486008,0.8916184775409285,0.03062330238656427,7.846112251281738
grid,77,7,0.12,4.0,1.0,1.0,1.2262984309069809,0.04398609049374893,0.4037784887790171,0.04348169814219334,0.8886254203483801,0.03153127926639107,8.262574434280396
grid,78,7,0.12,4.0,1.0,1.2,1.2262918630990136,0.04274394713238225,0.40384656405516284,0.04190446090296192,0.8880507911938655,0.0301545607270848,6.583842039108276
grid,79,7,0.12,4.0,1.2,0.8,1.2272978725148664,0.040030223157764215,0.4029981131376178,0.038882481292099536,0.8889940878925371,0.028448124284321277,6.319234609603882
grid,80,7,0.12,4.0,1.2,1.0,1.2256080165841798,0.04365130096440718,0.4046535581830016,0.04038253881926972,0.8881710266711499,0.029050498669631573,6.005167722702026
grid,81,7,0.12,4.0,1.2,1.2,1.2269040921783199,0.04225423786484073,0.40328412288809357,0.04131309891799487,0.8891621135063786,0.028666447372737235,5.950526237487793
grid,82,8,0.08,2.0,0.8,0.8,1.2284807543735146,0.04399348073954815,0.40179363753400743,0.04153887540468146,0.8906639968258734,0.03066388378286423,6.862263917922974
grid,83,8,0.08,2.0,0.8,1.0,1.2257425851021808,0.04196704580240187,0.4046080516104917,0.03810036291769907,0.8880462037160314,0.02832257018496583,6.997772693634033
grid,84,8,0.08,2.0,0.8,1.2,1.2257192496975107,0.04113847436152178,0.40451982700405276,0.03945101436725625,0.8892560070658287,0.02952698415820586,6.881822347640991
grid,85,8,0.08,2.0,1.0,0.8,1.2294965493467929,0.042636722083269935,0.40073158134577314,0.04199894724477561,0.8912091504905305,0.031266322451421566,6.960309028625488
grid,86,8,0.08,2.0,1.0,1.0,1.2303163027721342,0.04396643029591279,0.3998476943924748,0.043903721611023974,0.892497160880368,0.03254534193746153,6.656121253967285
grid,87,8,0.08,2.0,1.0,1.2,1.2276248215679917,0.04308346931943933,0.4025872573697932,0.041668278474528295,0.8894086914763953,0.030811983004443617,6.576703071594238
grid,88,8,0.08,2.0,1.2,0.8,1.2314785502299528,0.0432142369580669,0.3985847909130403,0.04536119116283278,0.8936578569194026,0.03296624257718726,6.5502235889434814
grid,89,8,0.08,2.0,1.2,1.0,1.228029449240713,0.04317943976573636,0.40228017495945095,0.04041647155347072,0.8896507665294522,0.03103992806944086,6.777398347854614
grid,90,8,0.08,2.0,1.2,1.2,1.2270896503428794,0.04018736281395923,0.4031226934725436,0.04002984787670429,0.8899198236240056,0.029197959965552064,6.8961851596832275
grid,91,8,0.08,3.0,0.8,0.8,1.2251220702865662,0.04581436076596563,0.40525272450737865,0.03960123274952162,0.8865220606594011,0.030444043936236877,7.015348434448242
grid,92,8,0.08,3.0,0.8,1.0,1.2259745998227398,0.04471102002849969,0.4043226885394395,0.040492770340040826,0.8880871620461287,0.031101710559560135,7.099272012710571
grid,93,8,0.08,3.0,0.8,1.2,1.2306108505457907,0.04096265490477263,0.39961016510377856,0.041816368974191775,0.8929235227419797,0.030764944136650554,6.6817615032196045
grid,94,8,0.08,3.0,1.0,0.8,1.2316456626590282,0.04489682994583901,0.39851324726550313,0.04485026931157952,0.8925696945127083,0.033333358498246195,6.628405809402466
grid,95,8,0.08,3.0,1.0,1.0,1.227721951301557,0.04271057032381448,0.40248293983349803,0.04159274377516333,0.8899188236795286,0.031221392121484618,7.217351913452148
grid,96,8,0.08,3.0,1.0,1.2,1.221586057304721,0.04332531859894258,0.4086936674439346,0.037975975786786326,0.8836568417448796,0.029562163044994996,6.744479417800903
grid,97,8,0.08,3.0,1.2,0.8,1.2281601820706807,0.043976599165967474,0.4021812612673199,0.04049595182379225,0.8897369687581929,0.030327686118391588,6.802780628204346
grid,98,8,0.08,3.0,1.2,1.0,1.2284783201357472,0.04210021574298235,0.40156072595917625,0.04395572871391397,0.8919147053783764,0.03243618712532805,6.898558139801025
grid,99,8,0.08,3.0,1.2,1.2,1.2282930450487313,0.04259747703168315,0.4020171554212104,0.040311243440516564,0.890216554902393,0.0304587973101876,6.814587116241455
grid,100,8,0.08,4.0,0.8,0.8,1.2243379027409316,0.04512542750034054,0.4059972055512344,0.039482514770021446,0.8859208744760234,0.030325641337268318,6.781975269317627
grid,101,8,0.08,4.0,0.8,1.0,1.2270178099167217,0.04348896625826694,0.4033329904358487,0.03954431149500512,0.8882198760623112,0.030273571453418285,6.9350879192352295
grid,102,8,0.08,4.0,0.8,1.2,1.2283081085931016,0.04070212662847987,0.40187196620564725,0.04128633808101229,0.8913253817996158,0.03065856438519026,6.749507665634155
grid,103,8,0.08,4.0,1.0,0.8,1.2297552877482785,0.04236730532934,0.40033475624692727,0.043864820857920386,0.8922717040913122,0.03258002099537094,6.649120092391968
grid,104,8,0.08,4.0,1.0,1.0,1.2268968896328047,0.04448285468643689,0.40332932229001706,0.041780650451015665,0.8888359239730692,0.031114471017417166,6.678548574447632
grid,105,8,0.08,4.0,1.0,1.2,1.2229250715991176,0.044390672450383604,0.4073582642173908,0.039140467201246414,0.8847450446711745,0.030548941374618634,6.671350955963135
grid,106,8,0.08,4.0,1.2,0.8,1.2320731610632325,0.0432883334920876,0.39801838376072374,0.045222310956890756,0.8939910536362154,0.03306409945184922,6.6880035400390625
grid,107,8,0.08,4.0,1.2,1.0,1.229663139432003,0.0437286848593464,0.4002574057505345,0.04681608169375833,0.8932415592117738,0.034919372838271436,6.6769609451293945
grid,108,8,0.08,4.0,1.2,1.2,1.2275335722262288,0.04141934778125486,0.4027537078789094,0.03972173425710645,0.8901487650392236,0.029975510754615263,6.648690938949585
grid,109,8,0.1,2.0,0.8,0.8,1.2293907868559888,0.040401572558186466,0.40084392143854475,0.04078381014045082,0.8921305324454052,0.030582377658709557,6.708728313446045
grid,110,8,0.1,2.0,0.8,1.0,1.222013665591649,0.04432068238007929,0.40827313220483746,0.03862673458352211,0.8843891359876096,0.029990526328861247,6.698139429092407
grid,111,8,0.1,2.0,0.8,1.2,1.2203553834503627,0.04587185865988327,0.40994878069106055,0.03840963448022128,0.8812855992207507,0.0320328874315747,6.677081108093262
grid,112,8,0.1,2.0,1.0,0.8,1.2287615172173723,0.03987138858898373,0.4014756302322787,0.04019579334395441,0.8910112130664223,0.029136089377964695,6.660736322402954
grid,113,8,0.1,2.0,1.0,1.0,1.225980834081911,0.0424154489462498,0.40419112643599175,0.041226986527463184,0.8885914077241189,0.030654819131530144,7.162619590759277
grid,114,8,0.1,2.0,1.0,1.2,1.225389812114293,0.04304494804009361,0.40491241870291256,0.03932390066452594,0.8872198992776097,0.029867144698164847,6.941379547119141
grid,115,8,0.1,2.0,1.2,0.8,1.2267674183268371,0.04263970817607975,0.40338932405276884,0.041760434445791784,0.8881691178924995,0.031000603916730398,7.261883735656738
grid,116,8,0.1,2.0,1.2,1.0,1.228099971265207,0.041870769598069735,0.40194098378914356,0.04358762943888257,0.8901101107400156,0.031346039440158895,7.071484327316284
grid,117,8,0.1,2.0,1.2,1.2,1.2232335896638826,0.042403613215586576,0.40708839863574175,0.03756478637372282,0.8840303602727444,0.02991605888679646,7.09684944152832
grid,118,8,0.1,3.0,0.8,0.8,1.2249951203645435,0.0405106676251005,0.4051043816747068,0.04078691273176113,0.8878675543042134,0.03064093928718982,7.057793378829956
grid,119,8,0.1,3.0,0.8,1.0,1.2288008674601638,0.03925293862266097,0.40135624829376726,0.041163877737206436,0.8917854919132978,0.030319602096871807,7.066363334655762
grid,120,8,0.1,3.0,0.8,1.2,1.2228565902595563,0.04257223219030666,0.4074750335983578,0.037368604995737985,0.8843338086706135,0.02884041485550212,7.109174489974976
grid,121,8,0.1,3.0,1.0,0.8,1.2262982027747342,0.04063317390794423,0.4039284518624302,0.03970992832764148,0.8888807789409163,0.028968183093737377,7.150548458099365
